Date,Year,Category,Aggressor,Target,Event Description,Event Type,Severity,Advantage To,Key Detail / Impact,Scope,Source,Status,Severity_Order,Month
2018-05-08,2018,Sanctions / Diplomacy,USA,Iran,Trump withdraws US from JCPOA nuclear deal,Political,High,USA,Unilateral withdrawal; reimposed sanctions,Bilateral,CNN / CFR,Stable,2,05
2018-08-07,2018,Sanctions / Diplomacy,USA,Iran,US reimposed first wave of economic sanctions on Iran,Economic,High,USA,Banking & oil sanctions reinstated,Bilateral,Reuters,Stable,2,08
2018-11-05,2018,Sanctions / Diplomacy,USA,Iran,US reimposed second wave of sanctions including oil sector,Economic,High,USA,Iranian oil exports targeted,Bilateral,BBC,Stable,2,11
2019-05-08,2019,Sanctions / Diplomacy,Iran,USA,Iran announces rollback of JCPOA commitments,Political,Medium,Iran,Uranium stockpile limits exceeded,Bilateral,Al Jazeera,Escalating,3,05
2019-05-13,2019,Military / Strike,Iran-backed,Saudi Arabia,Oil tanker attacks near UAE coast,Attack,High,Iran Proxy,Blamed on Iran-backed groups,Regional,NYT,Escalating,2,05
2019-06-13,2019,Military / Strike,Iran-backed,Gulf of Oman,Two oil tankers attacked in Gulf of Oman,Attack,High,Iran Proxy,US blamed Iran; Iran denied,Regional,Reuters,Escalating,2,06
2019-06-20,2019,Military / Strike,Iran,USA,Iran shoots down US RQ-4 Global Hawk drone,Aerial,High,Iran,Drone over Strait of Hormuz,Bilateral,CNN,Escalating,2,06
2019-07-04,2019,Maritime / Sanctions,UK / Iran,Gibraltar,UK seizes Iranian tanker Grace 1 in Gibraltar,Seizure,Medium,UK-USA Aligned,Oil tanker impounded,Regional,BBC,Stable,3,07
2019-07-19,2019,Maritime / Sanctions,Iran,UK,Iran seizes British tanker Stena Impero in Strait of Hormuz,Seizure,Medium,Iran,Tit-for-tat tanker seizures,Regional,Guardian,Escalating,3,07
2019-09-14,2019,Military / Strike,Iran-backed,Saudi Arabia,Drone/missile attack on Saudi Aramco Abqaiq facility,Attack,Critical,Iran Proxy,Oil production cut by 50%; $50bn oil market impact,Regional,WSJ,Critical,1,09
2019-12-27,2019,Military / Strike,Iran-backed,Iraq,Rocket attack kills US contractor near Kirkuk,Attack,High,Iran Proxy,Kataib Hezbollah blamed,Regional,NYT,Escalating,2,12
